katyperry	KATY PERRY
justinbieber	Justin Bieber
taylorswift13	Taylor Swift
BarackObama	Barack Obama
YouTube	YouTube
rihanna	Rihanna
ladygaga	The Countess
jtimberlake	Justin Timberlake
TheEllenShow	Ellen DeGeneres
twitter	Twitter
britneyspears	Britney Spears
instagram	Instagram
Cristiano	Cristiano Ronaldo
KimKardashian	Kim Kardashian West
shakira	Shakira
selenagomez	Selena Gomez
JLo	Jennifer Lopez
ArianaGrande	Ariana Grande
ddlovato	Demi Lovato
jimmyfallon	jimmy fallon
cnnbrk	CNN Breaking News
Oprah	Oprah Winfrey
Pink	P!nk
Drake	Drizzy
Harry_Styles	Harry Styles.
onedirection	One Direction
BillGates	Bill Gates
KingJames	LeBron James
LilTunechi	Lil Wayne WEEZY F
BrunoMars	Bruno Mars
Adele	Adele
KAKA	Kaka
MileyCyrus	Miley Ray Cyrus
NiallOfficial	Niall Horan
espn	ESPN
KevinHart4real	Kevin Hart
aliciakeys	Alicia Keys
wizkhalifa	Cameron
SportsCenter	SportsCenter
pitbull	Pitbull
Real_Liam_Payne	Liam
nytimes	The New York Times
CNN	CNN
Louis_Tomlinson	Louis Tomlinson
NICKIMINAJ	NICKI MINAJ
neymarjr	Neymar Jr
Eminem	Marshall Mathers
EmWatson	Emma Watson
ActuallyNPH	Neil Patrick Harris
AvrilLavigne	Avril Lavigne
danieltosh	daniel tosh
BBCBreaking	BBC Breaking News
davidguetta	David Guetta
ConanOBrien	Conan O'Brien
NBA	NBA
SrBachchan	Amitabh Bachchan
realmadrid	Real Madrid C. F.
aplusk	ashton kutcher
khloekardashian	Khloé
kourtneykardash	Kourtney Kardashian
zaynmalik	zayn
FCBarcelona	FC Barcelona
iamsrk	Shah Rukh Khan
narendramodi	Narendra Modi
coldplay	Coldplay
edsheeran	Ed Sheeran
MariahCarey	Mariah Carey
kanyewest	KANYE WEST
vine	Vine
xtina	Christina Aguilera
aamir_khan	Aamir Khan
JimCarrey	Jim Carrey
chrisbrown	Chris Brown
TwitterEspanol	Twitter en español
BeingSalmanKhan	Salman Khan
agnezmo	AGNEZ MO
blakeshelton	Blake Shelton
Beyonce	Beyoncé Knowles
NFL	NFL
facebook	Facebook
RyanSeacrest	Ryan Seacrest
ivetesangalo	Ivete Sangalo
LeoDiCaprio	Leonardo DiCaprio
ParisHilton	Paris Hilton
KendallJenner	Kendall Jenner
iamwill	will.i.am
NASA	NASA
MohamadAlarefe	د. محمد #العريفي
MTV	MTV
google	Google
AlejandroSanz	Alejandro Sanz
SnoopDogg	Snoop Dogg
ashleytisdale	AshleyTisdaleFrench
tyrabanks	Tyra Banks
UberSoc	UberSocial 
ricky_martin	Ricky Martin
10Ronaldinho	Ronaldinho Gaúcho
SimonCowell	Simon Cowell
KylieJenner	Kylie Jenner
KDTrey5	Kevin Durant
radityadika	raditya dika
UberFacts	UberFacts
WayneRooney	Wayne Rooney
maroon5	Maroon 5
DalaiLama	Dalai Lama
ClaudiaLeitte	Claudia Leitte
BBCWorld	BBC News (World)
DaniloGentili	Danilo Gentili
shugairi	أحمد الشقيري
deepikapadukone	Deepika Padukone
marcosmion	snap - mionoficial
stephenfry	Stephen Fry
iHrithik	Hrithik Roshan
priyankachopra	PRIYANKA 
andresiniesta8	Andrés Iniesta
charliesheen	Charlie Sheen
CNNEE	CNN en Español
LucianoHuck	Luciano Huck
detikcom	detikcom
3gerardpique	Gerard Piqué
ZacEfron	Zac Efron
funnyordie	Funny Or Die
TheEconomist	The Economist
SamsungMobile	Samsung Mobile
TweetRAMALAN	Ramalan Indonesia
rustyrockets	Russell Brand
carlyraejepsen	Carly Rae Jepsen
juanes	JUANES
SHAQ	SHAQ
iamdiddy	Sean Diddy Combs
paurubio	Paulina Rubio
Ludacris	Ludacris
programapanico	Programa Pânico
Dr_alqarnee	عائض القرني
NatGeo	National Geographic
paulocoelho	Paulo Coelho
SabrinaSatoReal	Sabrina Sato Rahal
tomhanks	Tom Hanks
kelly_clarkson	Kelly Clarkson
Usher	Usher Raymond IV
Starbucks	Starbucks Coffee
akshaykumar	Akshay Kumar
Pontifex_es	Papa Francisco
LunaMaya26	luna maya
rickygervais	Ricky Gervais
TwitterSports	Twitter Sports
CMYLMZ	Cem Yılmaz
MesutOzil1088	Mesut Özil
sherinasinna	Sherina Sinna
ChampionsLeague	Champions League
nickjonas	Nick Jonas
premierleague	Premier League
CHANEL	CHANEL
TwitterMusic	Twitter Music
AlArabiya_Brk	العربية عاجل
XabiAlonso	Xabi Alonso
Reuters	Reuters Top News
TheRock	Dwayne Johnson
enrique305	Enrique Iglesias
StephenAtHome	Stephen Colbert
RedeGlobo	Globo
aguerosergiokun	Sergio Kun Aguero
arrahman	A.R.Rahman
VictoriaJustice	Victoria Justice
FALCAO	Radamel Falcao
lindsaylohan	Lindsay Lohan
AustinMahone	Austin Mahone
victoriabeckham	Victoria Beckham
jamesdrodriguez	James Rodríguez
TreySongz	Trey Songz
FCBarcelona_es	FC Barcelona
SofiaVergara	Sofia Vergara
jessicaalba	Jessica Alba
TIME	TIME.com
rafinhabastos	Rafinha Bastos
RafaelNadal	Rafa Nadal
PlayStation	PlayStation
eonline	E! Online
realwbonner	William Bonner
daddy_yankee	Daddy Yankee
afgansyah_reza	afgansyah reza
TheOnion	The Onion
Anahi	Anahi
imVkohli	Virat Kohli 
LMFAO	LMFAO
TwitPic	TwitPic
PMOIndia	PMO India 
VictoriasSecret	Victoria's Secret
Android	Android
sachin_rt	sachin tendulkar
mishari_alafasy	مشاري راشد العفاسي
twittermedia	Twitter Media
JessieJ	Jessie J
MarceloTas	Marcelo Tas
vidialdiano	Vidi Aldiano
voguemagazine	Vogue Magazine
annecurtissmith	Anne Curtis-Smith
showdavida	Fantástico
SethMacFarlane	Seth MacFarlane
BreakingNews	Breaking News
WSJ	Wall Street Journal
Legendarios	Legendários
Carles5puyol	Carles Puyol
SBYudhoyono	S. B. Yudhoyono
thalia	Thalia
MarcAnthony	Marc Anthony
cesc4official	Cesc Fàbregas Soler
AppleMusic	Apple Music
Metro_TV	METRO TV
50cent	50cent
Pharrell	Pharrell Williams
azizansari	Aziz Ansari
5SOS	5 Seconds of Summer
joejonas	J O E  J O N A S
Pontifex	Pope Francis
Tatawerneck	Tata werneck
WhiteHouse	The White House
kobebryant	Kobe Bryant
BigSean	Big Sean
juniorbachchan	Abhishek Bachchan 
davidbisbal	David Bisbal
sonamakapoor	Sonam Kapoor
FIFAcom	FIFA.com
channingtatum	Channing Tatum
Persie_Official	Robin van Persie
marcoluque	Marco Luque
kata2bijak	kata kata bijak
CodySimpson	Cody Simpson
elissakh	Elissa
LuisFonsi	Luis Fonsi 
EugenioDerbez	Eugenio Derbez
GarethBale11	Gareth Bale
JColeNC	J. Cole
JohnCena	John Cena
DavidLuiz_4	David Luiz
salman_alodah	سلمان العودة
karanjohar	Karan Johar
MirandaCosgrove	Miranda Cosgrove
johnlegend	John Legend
EvaLongoria	Eva Longoria
NancyAjram	Nancy Ajram
Guaje7Villa	David Villa
AlArabiya	قناة العربية
Microsoft	Microsoft
CherLloyd	Cher Lloyd
Forbes	Forbes
hootsuite	Hootsuite
RT_Erdogan	Recep Tayyip Erdoğan
JessicaSimpson	Jessica Simpson
SpiderAnderson	Anderson Silva
cinema21	Cinema XXI
montanertwiter	Ricardo Montaner
LittleMix	Little Mix
SarahKSilverman	Sarah Silverman
shahidkapoor	Shahid Kapoor
carmeloanthony	Carmelo Anthony
hm	H&M;
Xbox	Xbox
cbabdullahgul	Abdullah Gül
Tyga	T-Raww
cuervotinelli	marcelo tinelli
g1	G1
ChespiritoRGB	Roberto G. Bolaños
snooki	Nicole Polizzi
143redangel	Angel Locsin
OMGFacts	OMG Facts
GermanGarmendia	German Garmendia
tvOneNews	tvOneNews
RaffiAhmadLagi	Raffi Ahmad
IAMQUEENLATIFAH	Queen Latifah
ZooeyDeschanel	zooey deschanel
TEDTalks	TED Talks
people	People magazine
richardbranson	Richard Branson
simonpegg	Pegg News
CalvinHarris	Calvin Harris
NeYoCompound	NE-YO
SteveMartinToGo	Steve Martin
NabilAlawadhy	نبيل علي العوضي
pewdiepie	Felix Kjellberg
ollyofficial	Olly Murs
ciara	Ciara
DaniAlvesD2	Daniel Alves
werevertumorro	WEREVERTUMORRO
FoxNews	Fox News
KELLYROWLAND	KELENDRIA ROWLAND
Fearnecotton	fearne cotton
muyinteresante	MUY Interesante
Luke5SOS	Luke Hemmings
Arsenal	Arsenal FC
rioferdy5	Rio Ferdinand
FloydMayweather	Floyd Mayweather
andersoncooper	Anderson Cooper
jedarcantik	Jessica Iskandar
FarOutAkhtar	Farhan Akhtar
MTLovenHoney	Mario Teguh
shireensungkar	shireen sungkar
FabioPorchat	Fabio Porchat
VEJA	VEJA
HuffingtonPost	Huffington Post
ManUtd	Manchester United
gusttavo_lima	Gusttavo Lima
jennettemccurdy	Jennette McCurdy
pittyleone	Pitty
AJArabic	قناة الجزيرة
aliaa08	Alia Bhatt
hollywills	Holly Willoughby
NasehatSuper	Bumi Dinasti
ChelseaFC	Chelsea FC
vicegandako	jose marie viceral
Dior	Dior
TheXFactor	The X Factor
JuanLuisGuerra	Juan Luis Guerra
bellathorne	bella thorne
Tip	T.I.
PerezHilton	Perez Hilton
Ricardo_Arjona	Ricardo Arjona ®
pepatah	pepatah
DwightHoward	Dwight Howard
CHAYANNEMUSIC	CHAYANNE
Zendaya	Zendaya
jimmykimmel	Jimmy Kimmel
RockstarGames	Rockstar Games
DulceMaria	Dulce Maria
oceara	Ceará - Wellington
KrisJenner	Kris Jenner
mashable	Mashable
iansomerhalder	Ian Somerhalder
AP	The Associated Press
NoticiasCaracol	Noticias Caracol
AnushkaSharma	Anushka Sharma
luansantana	Luan Santana
RealHughJackman	Hugh Jackman
IGGYAZALEA	IGGY AZALEA
106andpark	#106andPark
ArvindKejriwal	Arvind Kejriwal
SergioRamos	Sergio Ramos
GalileaMontijo	Galilea Montijo
sonakshisinha	Sonakshi Sinha
robkardashian	ROBERT KARDASHIAN
GalatasaraySK	Galatasaray SK
TechCrunch	TechCrunch
chetan_bhagat	Chetan Bhagat
jk_rowling	J.K. Rowling
Akon	AKON
Mascherano	Javier Mascherano
ClaroBrasil	Claro Brasil
OMARCHAPARRO	Omar Chaparro
jason_mraz	Jason Mraz
LanaDelRey	Lana Del Rey
ninadobrev	Nina Dobrev
realmadriden	Real Madrid C.F.
Calum5SOS	Calum Hood
rodrigovesgo	Rodrigo Scarpa
serenawilliams	Serena Williams
NoticiasRCN	Noticias RCN
girlposts	Common White Girl
ParineetiChopra	Parineeti Chopra
CH14_	Chicharito Hernandez
atademirer	atademirer
ScottDisick	Scott Disick
jimmycarr	Jimmy Carr
CherylOfficial	Cheryl
WWE	WWE
RobertDowneyJr	Robert Downey Jr
LuisSuarez9	Luis Suarez
official_flo	FLO RIDA
kendricklamar	Kendrick Lamar
NewYorker	The New Yorker
OneLouderApps	OneLouder Apps
chelseahandler	Chelsea Handler
G_Higuain	Gonzalo Higuaín
CarlosLoret	Carlos Loret de Mola
TareqAlSuwaidan	د. طارق السويدان
officialjaden	Jaden Smith
TomCruise	Tom Cruise
JeremyClarkson	Jeremy Clarkson
9GAG	9GAG
adamlevine	Adam Levine
Windows	Windows
GooglePlay	Google Play
Residente	Residente
ahickmann	Ana Hickmann
Talhabeeb	أ. د. طارق الحبيب
timesofindia	Times of India
Michael5SOS	Michael Clifford
twittertv	Twitter TV
elliegoulding	Ellie Goulding
VanessaHudgens	Vanessa Hudgens
JKCorden	Jkcorden
DrBassemYoussef	Dr Bassem Youssef
googlechrome	Google Chrome
camerondallas	Cameron Dallas
lopezdoriga	Joaquín López-Dóriga
Nike	Nike
thekiranbedi	Kiran Bedi
raisa6690	Raisa Andriana
hcapriles	Henrique Capriles R.
Notebook	The Notebook
AnupamPkher	Anupam Kher
sabqorg	صحيفة سبق
yuyacst	Yuya
lilyallen	lily
oserginho	Serginho Groisman
bernardokath	KATH
maryjblige	Mary J. Blige
MichelleObama	Michelle Obama
SamuelLJackson	Samuel L. Jackson
justdemi	Demi Moore
Ahlam_Alshamsi	Ahlam - احلام
NicoleScherzy	Nicole Scherzinger
UN	United Nations
amrkhaled	Amr Khaled
WIRED	WIRED
bep	The Black Eyed Peas
ndtv	NDTV
BBCNews	BBC News (UK)
SamsungMobileUS	Samsung Mobile US
okanbayulgen	okan bayulgen
MeekMill	Meek Mill
antanddec	antanddec
bhogleharsha	Harsha Bhogle
washingtonpost	Washington Post
INDONESIAinLOVE	INDONESIAinLOVE
RitaOra	Rita Ora
mindykaling	Mindy Kaling
la_patilla	La Patilla
CasillasWorld	Iker Casillas
lulopilato	Luisana Lopilato
LukeBryanOnline	Luke Bryan
FCBarcelona_cat	FC Barcelona
mirandalambert	Miranda Lambert
Fiuk	Fiuk
bepe20s	•Bambang Pamungkas•
bclsinclair	bunga citra lestari
SandyLeah	Sandy Leah
NickCannon	Nick Cannon
Nashgrier	Nash Grier
YengPLUGGEDin	Yeng Constantino
ntvspor	NTV Spor
twitcam	twitcam
Angelluisr	Angel Rivera
MYXphilippines	MYX Philippines
DemetAkalin	Demet Akalin Kurt
MLB	MLB
AristeguiOnline	Aristegui Noticias
RedHourBen	Ben Stiller
siwon407	SIWON CHOI
TigerWoods	Tiger Woods
MacMiller	Mac
POTUS	President Obama
Burberry	Burberry
D_DeGea	David De Gea
HHShkMohd	HH Sheikh Mohammed
gmail	Gmail
juanmata8	Juan Mata García
LFC	Liverpool FC
RNTata2000	Ratan N. Tata
ImRaina	Suresh Raina
Skype	Skype
ariyoshihiroiki	有吉弘行
MikeTyson	Mike Tyson
IBGDRGN	G-DRAGON
DwyaneWade	DWade
WhatTheFFacts	What The F*** Facts
kevinjonas	kevin jonas
DisneyPixar	Disney•Pixar
JonahHill	Jonah Hill
AnnaKendrick47	Anna Kendrick
LennyKravitz	Lenny Kravitz
nicolerichie	Nicole Richie
mbc1	MBC1
linkinpark	LINKIN PARK
HilaryDuff	Hilary Duff
ntv	NTV
girIpossts	Common White Girl
AlanCarr	Alan Carr
jamieoliver	Jamie Oliver
twitterapi	Twitter API
Oceaanfietser	Ebrahim Hemmatnia
wossy	Jonathan Ross
JohnCleese	John Cleese
sectorkekz	Angelica Panganiban
PrinceRoyce	Prince Royce
lucyhale	Lucy Hale
el_pais	EL PAÍS
UNICEF	UNICEF
donghae861015	Super Junior 이동해
TiagoLeifert	Tiago Leifert
bridgitmendler	Bridgit Mendler
ABC	ABC News
souljaboy	Soulja Boy
realDonaldTrump	Donald J. Trump
RollingStone	Rolling Stone
carrieunderwood	Carrie Underwood
DjokerNole	Novak Djokovic
Bellaudyaa	Laudya cynthia bella
YouTubeTrends	YouTube Trends
WholeFoods	Whole Foods Market
WholeFoods	Whole Foods Market
jesseyjoy	Jesse & Joy Oficial
LouisVuitton	Louis Vuitton
olla_ramlan	Ollaufar
yokoono	Yoko Ono
tyleroakley	Tyler Oakley // 31
gabyespino	gaby espino
TMCPoldaMetro	TMC Polda Metro Jaya
BillSimmons	Bill Simmons
johngreen	John Green
Fenerbahce	Fenerbahçe SK
kompascom	Kompas.com
Rubiu5	elrubius
facufacundo	Facundo
virendersehwag	Virender Sehwag
cnnarabic	CNN بالعربية
iamsuperbianca	Bianca Gonzalez
DiegoForlan7	Diego Forlan
HitamPutihT7	Hitam Putih Trans|7
msdhoni	Mahendra Singh Dhoni
llcoolj	Instagram  @LLCOOLJ
jorgeemateus	Jorge & Mateus
MonsieurDream	Cyprien
jonas_ent	Jonas Enterprises
Skrillex	SKRILLEX
piersmorgan	Piers Morgan
HillaryClinton	Hillary Clinton
Lord_Sugar	Lord Sugar
msleamichele	Lea Michele
Lmao	Funny Tweets™
gitagut	Aluna Sagita Gutawa
BBCSport	BBC Sport
AdelAliBinAli	عادل علي بن علي
gadelmaleh	Gad Elmaleh
Disney	Disney
FactsOfSchool	Student Problems
imdanielpadilla	Daniel Padilla
CP3	Chris Paul
3ajel_News	خبر عاجل
ShawnMendes	Shawn Mendes
IrfanBachdim10	Irfan Bachdim
kc_concepcion	KC Concepcion
iamjamiefoxx	Jamie Foxx
micheltelo	Michel Teló
lemondefr	Le Monde
neiltyson	Neil deGrasse Tyson
amrdiab	Amr Diab
Lakers	Los Angeles Lakers
guardian	The Guardian 
BlackBerry	BlackBerry
luckymanzano	Luis Manzano
MarceloM12	Marcelo Vieira
SalehAlmoghamsy	الشيخ صالح المغامسي
EW	Entertainment Weekly
EPN	Enrique Peña Nieto
SandraDewi88	Sandra Dewi
SteveCarell	Steve Carell
ThatsSarcasm	Sarcasm
felipeneto	Felipe Neto
yelyahwilliams	hayley from Paramore
DONOMAR	DON OMAR aka KONG
TheVijayMallya	Vijay Mallya 
Ashton5SOS	Ashton Irwin
NoelSchajris	Noel Schajris
Support	Twitter Support
NPR	NPR
wisinyyandel	Wisin Y Yandel
billclinton	Bill Clinton
LIFE	LIFE
RevRunWisdom	Rev Run
polo_polo	Polo Polo
syntekoficial	Aleks Syntek
Riteishd	Riteish Deshmukh 
FinancialTimes	Financial Times
Wale	Wale-Roof Whisperer
intel	Intel
GloriaTrevi	GloriaTrevi
ChinoyNacho	Chino y Nacho
cnni	CNN International
DjKingAssassin	DJ KING ASSASSIN
dahSyatMusik	dahSyat
PretaGil	Preta Gil
RealLamarOdom	LAMAR ODOM
AdamSchefter	Adam Schefter
MTVNews	MTV News
paulitachaves	Paula
ELTIEMPO	EL TIEMPO
gadiiing	Gading Marten
LuceroMexico	Lucero
RandyOrton	Randy Orton
TomCavalcante1	TOM CAVALCANTE
KevinSpacey	Kevin Spacey
VhongX44	Vhong Navarro
DebbouzeJamel	Jamel Debbouze
juliaperrez	juliaperez
GaryLineker	Gary Lineker
TwitterMovies	Twitter Movies
DJPaulyD	DJ Pauly D
OzzyOsbourne	Ozzy Osbourne
ELLEmagazine	ELLE Magazine (US)
ajaydevgn	Ajay Devgn
najwakaram	Najwa Karam
chavezcandanga	Hugo Chávez Frías
_CristineReyes_	Cristine Reyes
QueenRania	Rania Al Abdullah
silagencoglu	Sıla Gençoğlu
MedvedevRussia	Дмитрий Медведев
rainnwilson	RainnWilson
JordinSparks	Jordin Sparks
SkySportsNewsHQ	Sky Sports News HQ
Dropbox	Dropbox
montesjulia	Julia Montes
1victorvaldes	Victor Valdes
NHL	NHL
hulyavsar	Hulya Avsar
hazardeden10	Eden hazard
aristeguicnn	Carmen Aristegui
dilmabr	Dilma Rousseff
Caradelevingne	Cara Delevingne
MirandaKerr	Miranda Kerr
fayez_malki	فايز المالكي
SadHappyAmazing	Lost In History
angelicaksy	angelica huck
indrabektiasli	INDRA BEKTI
iCarly	iCarly
TheShilpaShetty	SHILPA SHETTY KUNDRA
AppStore	App Store
rogerfederer	Roger Federer
GaryBarlow	Gary Barlow
marcjacobs	Marc Jacobs
bipsluvurself	Bipasha Basu
KapilSharmaK9	KAPIL
Discovery	Discovery
AndreaLegarreta	Andrea Legarreta
tonyhawk	Tony Hawk
tylerperry	Tyler Perry
JuanManSantos	Juan Manuel Santos
BillCosby	Bill Cosby
noaheverett	Noah Everett
TwitterBooks	Twitter Books
RELATlONSHlP	relationship
julietav	Julieta Venegas
cuneytozdemir	cüneyt özdemir
CFKArgentina	Cristina Kirchner
eddieizzard	Eddie Izzard
AlvaroUribeVel	Álvaro Uribe Vélez
psy_oppa	PSY
JoelOsteen	Joel Osteen
galifianakisz	zach galifianakis
dylanobrien	Dylan O'Brien
SportsNation	SportsNation
Nelly_Mo	Nelly_Mo
YordiRosado	Yordi Rosado
DebbyRyan	DΞΒΒΥ RΥΛΠ
jackwhitehall	Jack Whitehall
KellyOsbourne	Kelly Osbourne
SonReflexiones	Reflexiones
MasQuePalabras	Mas Que Palabras
diegotorres	Diego Torres
yilmazerdogan	Yılmaz Erdoğan
miseleccionmx	Selección Nacional
Alwaleed_Talal	الوليد بن طلال
lordemusic	Lorde
PochoLavezzi	Ezequiel Lavezzi
KeriHilson	Keri Hilson
folha	Folha de S.Paulo
TRANSTV_CORP	TRANS TV
Vevo	Vevo
realpreityzinta	Preity zinta
Ubisoft	Ubisoft
HashKSA	هاشتاق السعودية
CBSNews	CBS News
alexoficial	Alejandro Fernandez
carlosvives	Carlos Vives
GreenDay	Green Day
raghebalama	Ragheb Alama
portalR7	Portal R7.com
ValeYellow46	Valentino Rossi
urgantcom	Ivan Urgant
shreyaghoshal	Shreya Ghoshal
LaVidaEnLetras	Frases De La Vida
alyankovic	Al Yankovic
LAURAGII	Laura G
TRANS7	TRANS7
Jenna_Marbles	Jenna Mourey/Marbles
MaiteOficial	Maite Perroni B
autocorrects	Funny Tweets
Adela_Micha	Adela Micha 
NBCTheVoice	The Voice
NormanDesVideos	Norman Thavaud
scooterbraun	Scooter Braun
wyclef	Wyclef Jean
tiesto	Tiësto
NickelodeonTV	Nickelodeon
Sony	Sony
KingSalman	سلمان بن عبدالعزيز
Funny_Truth	Survival Tips
SignosFodas	Signos
apriliokevin	Kevin Aprilio
apriliokevin	Kevin Aprilio
IPL	IndianPremierLeague
TheDailyShow	The Daily Show
WomensHealthMag	Women's Health
AshBenzo	Ashley Benson
Number10gov	UK Prime Minister
mcuban	Mark Cuban
paramore	PARAMORE
toptweets	Top Tweets
Crowdfire	Crowdfire
fifacom_es	FIFA.com en español
TheFunnyTeens	Sarcasm
iyavillania	IyaVillaniaArellano
HamzaNamira	Hamza Namira
ZozeeBo	Zoë
WalkingDead_AMC	The Walking Dead AMC
basuki_btp	Ahok Basuki TPurnama
usainbolt	Usain St. Leo Bolt
nikestore	Nike.com
realmadridarab	ريال مدريد
paulwesley	Paul Wesley
LuisChataing	Luis Chataing
aarbeloa17	Álvaro Arbeloa
FraseDeSarcasmo	Sarcasmos!
PEPATAHKU	IG: PEPATAHKU
lancearmstrong	Lance Armstrong
hitRECordJoe	Joseph Gordon-Levitt
leopoldolopez	Leopoldo López
EA	Electronic Arts
FelipeCalderon	Felipe Calderón
paulpierce34	Paul Pierce
MadhuriDixit	Madhuri Dixit-Nene
FIFAWorldCup	FIFAWorldCup
IAMJHUD	Jennifer Hudson
jokowi	Joko Widodo
Poconggg	ariefmuhammad
BigBang_CBS	The Big Bang Theory
ElBaradei	Mohamed ElBaradei
ahmethc	ahmet hakan
JoyceMeyer	Joyce Meyer
belindapop	Belinda
abdulrahman	عبدالرحمن بن مساعد
ElUniversal	El Universal
DrOz	Dr. Mehmet Oz
gulbenergen	Gülben Ergen Çelik
globovision	Globovisión
